product_number,description,quantity,prices
4647333358,,,
4647333358,,,
10Y371,,,
10Y505,,,
SVCL7,,,
SVCN6,,,
3VCP2,,,
3VCT6,"""Label,2"",1/2,inx1,1/2,""in,Paper,PK250"" ""Label,"",""1-1/4""""H,4-1/2""""W,PK1000"" Shipping,Dot,""Label,1/2"",In.,""W,PK1000"" Additional,Notes:,BLANK,LBL,DOT,12,IN.,SELF,ADH",6,
1MRL,"Shipping,Dot,""Label,1"",In.,""W,PK1000"" [Additional,Notes:,BLANK,LBL,DOT,G,1,IN.,SELF,ADH",32,
4MRL,"Shipping,Squares,""Label,"",1/2,In.,""W,PK1000"" [Additional,Notes:,BLANK,LBL,G,12X34,SELF,A,1MRL [Shipping,Squares,""Label,2"",In.,""W,PK200"" Additional,Notes:,BLANK,LBL,SQUARE,PINK,2X3",9,['908.78']
