filename,size_a,size_b,abs_size_diff,rel_size_diff,rows_a,rows_b,abs_row_diff,chars_a,chars_b,abs_chars_diff,rel_chars_diff,similarity_ratio,normalized_similarity_ratio,flag_abs_size,flag_rel_size,flag_row_diff,flag_similarity,flag_norm_similarity,is_outlier
4647404829.csv,160,161,1,0.006,1,1,0,152,153,1,0.007,1.000,1.000,0,0,0,0,0,0
4647404929.csv,180,185,5,0.027,1,1,0,173,178,5,0.028,1.000,1.000,0,0,0,0,0,0
4647404930.csv,377,378,1,0.003,2,2,0,363,364,1,0.003,1.000,1.000,0,0,0,0,0,0
4647404932.csv,975,980,5,0.005,6,6,0,938,943,5,0.005,1.000,1.000,0,0,0,0,0,0
4647406639.csv,460,460,0,0.000,3,3,0,441,441,0,0.000,1.000,1.000,0,0,0,0,0,0
4647407473.csv,170,170,0,0.000,1,1,0,164,164,0,0.000,1.000,1.000,0,0,0,0,0,0
4647407474.csv,717,717,0,0.000,4,4,0,690,690,0,0.000,1.000,1.000,0,0,0,0,0,0
4647476927.csv,167,167,0,0.000,1,1,0,160,160,0,0.000,1.000,1.000,0,0,0,0,0,0
4647477011.csv,168,169,1,0.006,1,1,0,162,163,1,0.006,1.000,1.000,0,0,0,0,0,0
4647478115.csv,694,694,0,0.000,4,4,0,666,666,0,0.000,1.000,1.000,0,0,0,0,0,0
4647478242.csv,331,331,0,0.000,2,2,0,319,319,0,0.000,1.000,1.000,0,0,0,0,0,0
4647479023.csv,513,514,1,0.002,3,3,0,492,493,1,0.002,1.000,1.000,0,0,0,0,0,0
4647479339.csv,304,305,1,0.003,2,2,0,291,292,1,0.003,1.000,1.000,0,0,0,0,0,0
4647479681.csv,165,169,4,0.024,1,1,0,158,162,4,0.025,1.000,1.000,0,0,0,0,0,0
4647479682.csv,1321,1323,2,0.002,8,8,0,1267,1268,1,0.001,1.000,1.000,0,0,0,0,0,0
4647481042.csv,896,898,2,0.002,5,5,0,862,864,2,0.002,1.000,1.000,0,0,0,0,0,0
4647483313.csv,706,703,3,0.004,4,4,0,679,676,3,0.004,1.000,1.000,0,0,0,0,0,0
4647483537.csv,648,667,19,0.028,4,4,0,621,640,19,0.030,1.000,1.000,0,0,0,0,0,0
4647487912.csv,183,185,2,0.011,1,1,0,175,177,2,0.011,1.000,1.000,0,0,0,0,0,0
4647553395.csv,169,169,0,0.000,1,1,0,161,161,0,0.000,1.000,1.000,0,0,0,0,0,0
4647554537.csv,343,344,1,0.003,2,2,0,329,330,1,0.003,1.000,1.000,0,0,0,0,0,0
4647554956.csv,314,313,1,0.003,2,2,0,300,299,1,0.003,1.000,1.000,0,0,0,0,0,0
4647555498.csv,165,169,4,0.024,1,1,0,158,162,4,0.025,1.000,1.000,0,0,0,0,0,0
4647555499.csv,166,166,0,0.000,1,1,0,160,160,0,0.000,1.000,1.000,0,0,0,0,0,0
